t,spot_price,act_dol,act_ETH,net_worth,profit,threshold,target_price,price_gap,fees,spent,gains,profit
8541,369.33,687993.9520000009,795,981611.3020000008,-18388.69799999916,1.2926549999999999,362.88230000000004,6.447699999999941,5800.647999999995,1313232.3000000003,1007026.9000000017,-312006.0479999986
8542,369.33,689835.9853750009,790,981606.6853750008,-18393.314624999184,1.2926549999999999,363.0025,6.327499999999986,5805.264624999994,1313232.3000000003,1008873.5500000017,-310164.0146249986
8543,369.34,691678.0686250009,785,981609.9686250009,-18390.03137499909,1.29269,363.12270000000007,6.217299999999909,5809.8813749999945,1313232.3000000003,1010720.2500000016,-308321.93137499865
8544,368.91,693518.0072500008,780,981267.8072500009,-18732.192749999114,1.291185,363.24300000000005,5.666999999999973,5814.492749999995,1313232.3000000003,1012564.8000000017,-306481.9927499986
8545,368.51,695355.9508750008,775,980951.2008750008,-19048.799124999205,1.289785,363.35310000000004,5.1568999999999505,5819.099124999995,1313232.3000000003,1014407.3500000017,-304644.04912499856
8546,367.26,697187.6601250008,770,979977.8601250008,-20022.13987499918,1.28541,363.45560000000006,3.80439999999993,5823.6898749999955,1313232.3000000003,1016243.6500000018,-302812.3398749985
8547,367.20,699019.0701250008,765,979927.0701250008,-20072.929874999216,1.2852,363.5475,3.652499999999975,5828.279874999996,1313232.3000000003,1018079.6500000018,-300980.9298749985
8548,367.20,700850.4801250008,760,979922.4801250008,-20077.519874999183,1.2852,363.63800000000003,3.561999999999955,5832.869874999996,1313232.3000000003,1019915.6500000018,-299149.5198749985
8549,367.20,702681.8901250008,755,979917.8901250008,-20082.10987499915,1.2852,363.7282,3.4717999999999734,5837.459874999996,1313232.3000000003,1021751.6500000018,-297318.1098749985
8550,367.20,704513.3001250009,750,979913.3001250009,-20086.699874999118,1.2852,363.8183999999999,3.3816000000001054,5842.049874999996,1313232.3000000003,1023587.6500000018,-295486.6998749985
8551,366.81,706342.7650000008,745,979616.2150000008,-20383.784999999218,1.283835,363.9029999999998,2.9070000000002096,5846.634999999996,1313232.3000000003,1025421.7000000018,-293657.2349999985
8552,366.81,708172.2298750008,740,979611.6298750008,-20388.3701249992,1.283835,363.9816999999998,2.8283000000001834,5851.220124999995,1313232.3000000003,1027255.7500000019,-291827.7701249984
8553,366.98,710002.5426250008,735,979732.8426250007,-20267.157374999253,1.2844300000000002,364.05929999999995,2.9207000000000676,5855.807374999995,1313232.3000000003,1029090.6500000019,-289997.45737499837
8554,367.20,711833.9526250008,730,979889.9526250008,-20110.04737499915,1.2852,364.1377,3.0622999999999934,5860.397374999995,1313232.3000000003,1030926.6500000019,-288166.0473749984
8555,367.04,713664.5646250008,725,979768.5646250008,-20231.435374999186,1.28464,364.2203999999999,2.8196000000000936,5864.985374999995,1313232.3000000003,1032761.8500000018,-286335.43537499843
